trial_id,mean_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,neg_mean_loss,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.input_chunk_length,config.output_chunk_length,config.hidden_size,config.batch_size,config.dropout
bae7c_00010,0.033805472196809176,4569.977620124817,True,,,1,-0.033805472196809176,324b84dc655348f68381ddd3100732e9,2022-05-23_22-03-55,1653343435,4569.977620124817,3040613,gpu06,130.149.248.55,4569.977620124817,0,1,"10_batch_size=256,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,256,0.2
bae7c_00011,0.0873054347088496,4074.1322779655457,True,,,1,-0.0873054347088496,9306326bcc1b46c4a576a563f8b0420b,2022-05-23_22-03-29,1653343409,4074.1322779655457,3040621,gpu06,130.149.248.55,4074.1322779655457,0,1,"11_batch_size=512,dropout=0.2,hidden_size=75,input_chunk_length=300,output_chunk_length=300",300,300,75,512,0.2
bae7c_00012,0.19026777778386605,2918.044784784317,True,,,1,-0.19026777778386605,11da17c7442f491a90a76c8265e89940,2022-05-23_22-00-51,1653343251,2918.044784784317,3040628,gpu06,130.149.248.55,2918.044784784317,0,1,"12_batch_size=256,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,256,0.05
bae7c_00013,0.17846691899396816,2154.511717557907,True,,,1,-0.17846691899396816,96aabc7a68d94e4abc3821cc602353a2,2022-05-23_21-51-06,1653342666,2154.511717557907,3040623,gpu06,130.149.248.55,2154.511717557907,0,1,"13_batch_size=512,dropout=0.05,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,512,0.05
bae7c_00014,0.234330996345978,2767.859890937805,True,,,1,-0.234330996345978,0bc14143ea2143ceb41f266471af125b,2022-05-23_22-37-19,1653345439,2767.859890937805,3040614,gpu06,130.149.248.55,2767.859890937805,0,1,"14_batch_size=256,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,256,0.1
bae7c_00015,0.29212167351358703,2035.662453174591,True,,,1,-0.29212167351358703,db31231119e54b69bbdb0681b89e849d,2022-05-23_22-34-53,1653345293,2035.662453174591,3040612,gpu06,130.149.248.55,2035.662453174591,0,1,"15_batch_size=512,dropout=0.1,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,512,0.1
bae7c_00016,0.09979518447528574,2846.119764328003,True,,,1,-0.09979518447528574,1958bdefc7614d5c91bc60074dfb46ee,2022-05-23_22-51-00,1653346260,2846.119764328003,3043300,gpu06,130.149.248.55,2846.119764328003,0,1,"16_batch_size=256,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,256,0.2
bae7c_00017,0.14731270820996603,2037.827617406845,True,,,1,-0.14731270820996603,1a0daefb74ea426c91f565b144af61b2,2022-05-23_22-37-58,1653345478,2037.827617406845,3043341,gpu06,130.149.248.55,2037.827617406845,0,1,"17_batch_size=512,dropout=0.2,hidden_size=25,input_chunk_length=600,output_chunk_length=300",600,300,25,512,0.2
bae7c_00018,0.08648665469919749,9297.224689006805,True,,,1,-0.08648665469919749,b20602c521754deb9879d0f2b8cb1b35,2022-05-24_01-09-56,1653354596,9297.224689006805,3043763,gpu06,130.149.248.55,9297.224689006805,0,1,"18_batch_size=256,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,256,0.05
bae7c_00019,0.1706175643833857,8344.656099557877,True,,,1,-0.1706175643833857,b0f680ff8119436da0603f75b5adca46,2022-05-24_00-56-30,1653353790,8344.656099557877,3043829,gpu06,130.149.248.55,8344.656099557877,0,1,"19_batch_size=512,dropout=0.05,hidden_size=75,input_chunk_length=600,output_chunk_length=300",600,300,75,512,0.05
