Time,cpu_rate,memory_rate,read_bytes_rate,write_bytes_rate
2022-05-22 00:00:00,20.11864406769004,9.673937945997258,64441187.79661016,77446820.88135593
2022-05-22 00:00:01,20.127118644018466,9.670874816200815,64423831.86440678,77426757.42372881
2022-05-22 00:00:02,20.13506355948975,9.668011355587392,64412376.949152544,77415927.3220339
2022-05-22 00:00:03,20.14565677959196,9.665255323474586,64399707.118644066,77400931.79661016
2022-05-22 00:00:04,20.149894067731495,9.662693442304104,64393806.10169491,77393086.91525422
2022-05-22 00:00:05,20.145127118685522,9.660143002623334,64371243.3898305,77366497.62711863
2022-05-22 00:00:06,20.123940678135796,9.657615294043808,64372631.86440678,77368302.6440678
2022-05-22 00:00:07,20.117584745778515,9.655075485835773,64351978.30508474,77343448.94915253
2022-05-22 00:00:08,20.106991525429635,9.652678088736167,64344341.69491526,77334007.3220339
2022-05-22 00:00:09,20.096398305376766,9.65055235107779,64328894.915254235,77315887.72881356
2022-05-22 00:00:10,20.086334745638396,9.648293315001855,64323688.13559321,77308945.3559322
2022-05-22 00:00:11,20.102754237191462,9.645920015907116,64310150.50847457,77292839.05084746
2022-05-22 00:00:12,20.0889830509106,9.643580686899044,64303034.576271184,77284230.50847457
2022-05-22 00:00:13,19.904661017037952,9.641215639852197,64298001.355932206,77278676.61016949
2022-05-22 00:00:14,20.006355932090926,9.639067576101057,64288108.474576265,77265416.6779661
2022-05-22 00:00:15,20.066207627197542,9.63679152966873,64285505.08474576,77259723.93220338
2022-05-22 00:00:16,20.067266949109126,9.63463501136551,64278389.15254237,77255141.96610169
2022-05-22 00:00:17,20.067266949306443,9.632341903950758,64265545.76271186,77240215.86440678
2022-05-22 00:00:18,20.053495762630973,9.629933369117861,64250793.22033898,77222304.54237288
2022-05-22 00:00:19,20.036546610319448,9.6278408421552,64246454.23728813,77218347.38983051
2022-05-22 00:00:20,20.03813559318678,9.625656125136196,64240553.22033898,77206406.50847457
2022-05-22 00:00:21,20.059851694938942,9.6235975682602,64231354.576271184,77188286.91525422
2022-05-22 00:00:22,20.048199152727847,9.621584473586642,64215907.79661016,77168987.11864406
2022-05-22 00:00:23,20.047139830470982,9.619649089916072,64224932.88135593,77188911.72881356
2022-05-22 00:00:24,20.037076271225928,9.61765168932127,64209138.983050846,77169195.38983051
2022-05-22 00:00:25,20.045550847504998,9.615632671398577,64207229.83050847,77163224.94915253
2022-05-22 00:00:26,20.040783898212354,9.613595225589888,64213477.96610169,77170167.3220339
2022-05-22 00:00:27,20.043432203336565,9.611586130375095,64198204.745762706,77152325.42372881
2022-05-22 00:00:28,20.040783898261665,9.609581945888168,64198031.18644068,77155657.76271185
2022-05-22 00:00:29,20.045550847356992,9.607716476807282,64199419.66101695,77160725.69491525
2022-05-22 00:00:30,20.021186440628625,9.605660754990698,64168699.66101695,77120112.81355932
2022-05-22 00:00:31,19.999470338925818,9.603662797509227,64180675.25423729,77131151.18644068
2022-05-22 00:00:32,20.002118643951377,9.601564499175685,64165228.474576265,77111712.54237288
2022-05-22 00:00:33,20.029131355754643,9.599500727815425,64159153.89830508,77107338.84745763
2022-05-22 00:00:34,20.02701271183284,9.597496340824296,64161063.05084745,77111434.84745763
2022-05-22 00:00:35,20.025953390167928,9.595196955778029,64147351.86440678,77096369.89830509
2022-05-22 00:00:36,20.010593220329127,9.592966725930552,64150649.49152542,77099424.54237288
2022-05-22 00:00:37,20.01430084736488,9.590831875581241,64144922.03389831,77097341.83050847
2022-05-22 00:00:38,20.012182203393763,9.588826121686456,64142492.20338983,77090677.15254237
2022-05-22 00:00:39,20.014830508468677,9.586599385037175,64132772.88135593,77080402.44067796
2022-05-22 00:00:40,20.012711864448235,9.584378774141166,64146657.62711864,77095883.93220338
2022-05-22 00:00:41,20.016949152390424,9.582850373371777,64127218.983050846,77072488.13559322
2022-05-22 00:00:42,20.002118644050043,9.580804473010895,64119061.69491526,77065823.45762712
2022-05-22 00:00:43,19.852224576249483,9.578811426257317,64124962.711864404,77071655.05084746
2022-05-22 00:00:44,19.966631355721077,9.577091962735217,64091465.76271186,77027432.13559322
2022-05-22 00:00:45,20.030720338967242,9.575011383522858,64098755.25423729,77036943.18644068
2022-05-22 00:00:46,20.038135593285446,9.573056964453508,64109342.37288136,77047634.44067796
2022-05-22 00:00:47,20.054555084789186,9.570851845132067,64105697.62711864,77044788.06779662
2022-05-22 00:00:48,20.03548728801327,9.568915043931836,64092333.55932203,77032569.49152543
2022-05-22 00:00:49,20.042372881227692,9.566854259509173,64102573.55932203,77043330.16949153
2022-05-22 00:00:50,20.034427966151014,9.565325909365763,64106218.30508474,77044440.94915253
2022-05-22 00:00:51,20.05190677976364,9.56365950195519,64094069.15254237,77025974.23728813
2022-05-22 00:00:52,20.036546610220782,9.561968692783395,64095804.745762706,77027015.59322032
2022-05-22 00:00:53,20.041843220469218,9.560094414767939,64098234.576271184,77034235.66101694
2022-05-22 00:00:54,20.053495762680328,9.55789061172413,64091292.20338983,77030139.66101694
2022-05-22 00:00:55,20.0624999999645,9.555694959476035,64087647.45762711,77028751.18644068
2022-05-22 00:00:56,20.056144067755184,9.5536342763055,64087821.016949154,77023960.94915253
2022-05-22 00:00:57,20.064618643886277,9.551535572963433,64062828.474576265,76994872.40677966
2022-05-22 00:00:58,20.075211864432433,9.549537615481984,64064737.62711864,76996052.61016949
2022-05-22 00:00:59,20.03336864423946,9.547541784295055,64059183.72881355,76990984.6779661
2022-05-22 00:01:00,20.009533898368247,9.545195671394858,64056059.66101695,76989873.89830509
