Time,cpu_rate,memory_rate,read_bytes_rate,write_bytes_rate
2022-04-12 00:00:00,24.28072033883113,10.835579788833227,56621993.22033898,68039975.05084746
2022-04-12 00:00:01,24.313029660981428,10.899382294221805,56682738.983050846,68111342.6440678
2022-04-12 00:00:02,24.36228813564057,10.890242163989516,56769518.644067794,68214298.03389831
2022-04-12 00:00:03,24.412605932309944,10.88817712697775,56922250.847457625,68395008.0
2022-04-12 00:00:04,24.48622881330283,10.889333578079974,57116637.288135596,68629660.20338982
2022-04-12 00:00:05,24.53654661021882,10.892311757346718,57309288.13559321,68861813.15254237
2022-04-12 00:00:06,24.614936440849633,10.89710285584341,57493261.016949154,69082927.72881356
2022-04-12 00:00:07,24.671080508131254,10.899085929263064,57664390.50847457,69285645.01694915
2022-04-12 00:00:08,24.722987288161235,10.906752132367137,57839685.42372881,69496970.84745762
2022-04-12 00:00:09,24.788135593220346,10.918319275944455,58136471.86440678,69852003.79661016
2022-04-12 00:00:10,24.912605932233006,10.939024828468014,58478383.72881355,70262922.84745762
2022-04-12 00:00:11,25.015889830449282,10.957152299481754,58766492.20338983,70609347.25423728
2022-04-12 00:00:12,25.08474576259347,10.966853012083034,58973027.79661016,70855732.0677966
2022-04-12 00:00:13,25.113877118713106,10.971447327082206,59075427.79661016,70982222.10169491
2022-04-12 00:00:14,25.11334745760938,10.967490647316247,59094519.3220339,71006520.40677966
2022-04-12 00:00:15,25.07786016947773,10.956768351438173,59054600.6779661,70957160.13559322
2022-04-12 00:00:16,24.92902542388471,10.943290732212096,59019888.813559316,70916616.6779661
2022-04-12 00:00:17,24.94915254227621,10.930751872027678,58985176.949152544,70874059.93220338
2022-04-12 00:00:18,24.968220338904132,10.92032442232651,58922001.355932206,70799498.84745762
2022-04-12 00:00:19,24.932733050871136,10.908003507332964,58762326.779661015,70606917.42372881
2022-04-12 00:00:20,24.879237288072446,10.89323973303743,58611330.16949152,70426762.84745762
2022-04-12 00:00:21,24.82362288135201,10.879642990690774,58528021.69491526,70322904.94915254
2022-04-12 00:00:22,24.808262712006467,10.869330057138704,58481160.6779661,70267435.3898305
2022-04-12 00:00:23,24.850105932199455,10.866143045372,58512401.355932206,70303882.84745762
2022-04-12 00:00:24,24.873411016917572,10.863203190033122,58656455.59322034,70482232.40677966
2022-04-12 00:00:25,24.87817796586492,10.867798112545035,58797038.644067794,70642462.37288135
2022-04-12 00:00:26,24.91578389826367,10.871241342804405,59013987.79661016,70904328.6779661
2022-04-12 00:00:27,25.014830508340395,10.882441042433921,59286475.93220339,71230342.50847457
2022-04-12 00:00:28,25.088453389875895,10.891225372712366,59520781.016949154,71512480.54237288
2022-04-12 00:00:29,25.155720338955447,10.903661259489517,59753350.50847457,71790592.0
2022-04-12 00:00:30,25.213453389893658,10.913436645530206,59982448.813559316,72066759.59322032
2022-04-12 00:00:31,25.290783898119628,10.922601177523694,60194191.18644068,72317379.25423728
2022-04-12 00:00:32,25.345868643982953,10.931542296711804,60366014.915254235,72524470.23728813
2022-04-12 00:00:33,25.3840042372388,10.935421164222603,60506597.96610169,72696918.77966101
2022-04-12 00:00:34,25.394067796631887,10.94132689669548,60602055.59322034,72812925.83050847
2022-04-12 00:00:35,25.38665254236301,10.946262785725525,60685711.18644068,72911715.79661016
2022-04-12 00:00:36,25.398834745924503,10.937810056144015,60659156.61016949,72881308.20338982
2022-04-12 00:00:37,25.358050847347144,10.923871841018606,60560401.355932206,72758983.59322032
2022-04-12 00:00:38,25.286546610226708,10.90562585439706,60398470.50847457,72572303.18644068
2022-04-12 00:00:39,25.19597457628106,10.881777537283742,60184298.30508474,72314324.61016949
2022-04-12 00:00:40,25.078389830532146,10.851211344433464,59962315.93220339,72048292.88135593
2022-04-12 00:00:41,25.008474576180433,10.824806715016388,59734432.542372875,71771292.20338982
2022-04-12 00:00:42,24.887711864302204,10.79871151208166,59494747.118644066,71483947.3898305
2022-04-12 00:00:43,24.770656779607748,10.772870148214764,59166720.0,71089967.72881356
2022-04-12 00:00:44,24.5905720340226,10.741488622658569,58724317.288135596,70564638.37288135
2022-04-12 00:00:45,24.420021186628134,10.700955727884665,58222210.16949152,69958569.22033899
2022-04-12 00:00:46,24.090572034000914,10.658652338519481,57731384.406779654,69370758.50847457
2022-04-12 00:00:47,23.943855932132365,10.619701862521612,57348338.983050846,68910062.6440678
2022-04-12 00:00:48,23.975635593228233,10.58014939203722,57122711.86440678,68640143.18644068
2022-04-12 00:00:49,24.008474576186345,10.552926088594228,57078801.355932206,68586825.76271185
2022-04-12 00:00:50,23.98252118644264,10.538954510894904,57099281.355932206,68611957.15254237
2022-04-12 00:00:51,23.993114406692854,10.534289623167236,57157944.406779654,68681589.15254237
2022-04-12 00:00:52,24.021716101659393,10.53032742516069,57237434.576271184,68777324.47457626
2022-04-12 00:00:53,24.058262711653285,10.52726525725941,57311023.72881355,68864520.6779661
2022-04-12 00:00:54,24.04608050828911,10.522078414847014,57361008.813559316,68925474.7118644
2022-04-12 00:00:55,24.051377118537516,10.514414591167775,57383224.406779654,68951508.61016949
2022-04-12 00:00:56,24.041843220050893,10.506479006795267,57375934.915254235,68939290.03389831
2022-04-12 00:00:57,24.04872881346266,10.500616306473908,57349206.779661015,68909229.55932203
2022-04-12 00:00:58,23.992584745737062,10.495318289232426,57278568.13559321,68822935.86440678
2022-04-12 00:00:59,23.965572034032462,10.493101627169166,57235178.30508474,68768646.50847457
2022-04-12 00:01:00,23.958156779615635,10.483137405922482,57175300.33898305,68697348.33898304
