Wall time,Step,Value
1653563321.1569283,0,0.0920531302690506
1653563390.3527668,1,0.05726965516805649
1653563459.47214,2,0.043290652334690094
1653563529.0644658,3,0.037929873913526535
1653563599.8579195,4,0.03554777055978775
1653563670.2709684,5,0.033392284065485
1653563739.8739016,6,0.031529344618320465
1653563808.6423159,7,0.029586829245090485
1653563879.1569345,8,0.02829751744866371
1653563949.0670953,9,0.02682681381702423
1653564018.8717263,10,0.02576877549290657
1653564089.6713195,11,0.025161942467093468
1653564160.0812984,12,0.024935806170105934
1653564229.652512,13,0.024477383121848106
1653564298.6741102,14,0.023981252685189247
1653564369.4641428,15,0.023369990289211273
1653564439.773229,16,0.026386277750134468
1653564509.3640287,17,0.022531038150191307
1653564580.4460285,18,0.0221367496997118
1653564651.27822,19,0.023626042529940605
1653564721.0693216,20,0.021999098360538483
1653564790.661979,21,0.025261446833610535
1653564861.6740322,22,0.02177608199417591
1653564933.032076,23,0.04005444794893265
